incidente,reflejado,refractado
0,0,0
5,5,3.5
10,10,7
15,15,10
20,20,13
25,25,16.5
30,30,19.5
35,35,22.5
40,40,25.5
45,45,28
50,50,30.5
55,55,33
60,60,35
65,65,37
70,70,39
