incidente,reflejado,refractado,observación
0,0,0,-
5,5,7.5,-
10,10,15,-
15,15,22.5,-
20,20,30,-
25,25,39,-
30,30,49,-
35,35,60,-
40,40,75,-
45,45,-,dispersión
50,50,-,RIT
55,55,-,RIT
60,60,-,RIT
65,65,-,RIT
70,70,-,RIT
