incidente,reflejado,refractado,observación
0,0,0,-
5,5,7.5,-
10,10,15,-
15,15,22.5,-
20,20,30.5,-
25,25,39.5,-
30,30,48.5,-
35,35,60,-
40,40,74,dispersión
45,45,-,RIT
50,50,-,RIT
55,55,-,RIT
60,60,-,RIT
65,65,-,RIT
70,70,-,RIT
